Review
"Apk Stress Update Bug mulu suka gagal mengirim post mulu sama repp, nonton lemot padahal jaringan bagus ,kalo mau Update minimal kasih perbedaan biar tambah nyaman lah tod inimah malah tambah Gilaaa!! Apk Pendo huuuu"
"dulu bagus, tp makin kesini makin gak jelas sering ada verifikasi, sekarang mlh tambah parah alias ngelag, ngga bisa dibuka, ada tulisan ""kesalahan teknis"" Angeeellll..... angeeellllllllll.........."
"setiap mau login selalu gagal,, membuat akun baru jg selalu kesalahan teknis terus,,,, akun saya yg pertama sangat penting banget tpi tidak bisa d buka,, padahal data sudah benar"
"Tiba-tiba keluar suruh balik ke akun, sering banget di tambah, akun satu lagi di tangguh kan tanpa jelas kesalahannya, bintang satu cocok nih kayaknya dan uninstall sekarang juga, goodbye X馃槀馃槀馃槀"
"jaringan lancar trs ga melanggar peraturan x tapi sering eror ada kesalahan teknis dan gabisa diapa apain klik profil gabisa cuman ngeliatin tulisan kesalahan teknis terus, lama lama males jga"
"akun ku selalu ke kunci, setiap masuk x pasti harus login padahal pas baru download juga udah login, masa setiap masuk harus login terus akun kekunci terus?"
akun saya sering banget terkunci padahal tidak ada apa-apa sudah di verifikasi berkali-kali tapi tetap saja sama mohon developer untuk memperbaiki soalnya selama saya pake x baru kali ini terjadi 馃檹
"Sekarang buka reply postingan balasan dari orang lain tidak ditemukan, harus nelewati postingan rekomendasi dan kadang tidak ada komentar sama sekali, jadi harus pindah opsi dari relevan ke paling banyak disukai. X sekarang jadi platform yang jelek, sudah algoritma jelek, sekarang ditambah kolom reply mau lihat komentar orang aja harus effort. sudah gitu ada bug ketika memutar video tapi suaranya keluar sendiri padahal sudah diclose videonya"
"ini kok gaada notif dm ya, trs dm saya sudah setting terima ke semua org kenapa masih aja tenggelam ke pesan tersembunyi, tolong di perbaiki saya pengen fast respon biar ga kehilangan pelanggan saya, makin kesini kok makin ga beres ni aplikasi"
twitter udah ga seasik dulu karena akunku sering kena limit padahal cuma ngepost doang dan itu jedanya 7-30 menit. mohon bantuannya developer biar akun saya ga kena limit terus karena yang sebelumnya kena hack! jujur kesel banget tapi mau gimana daripada akunnya dimakan Elon kan:(
"jelek bngt skrg. mau login lgi aja ga bisa虏 sampe skrg, kesalahan teknis mulu. suruh nyoba lgi nyampe skrg ga bisa虏, ga jelas emg ni apk.. 馃槧馃槧"
"saya kasih bintang 5 namun tolong ya ke admin, setiap saya mau klik liat video itu selalu muncul iklan yg menurut saya mengganggu krn harus balikin apk nya.. terutama iklan shopee tuh..mending kl ga bawa virus yg bawa virus jadi nge leg ke hape kita nya..ga jadi saja buka videonya..mknya proses buka video aja harus serumit itu..tolong di tindak aja yaa"
"Aku kasih bintang satu kesal sekali saya,, selalu keluar trus dari akun,, sudah itu memberikan recapcah, yang tidak sinkron. Aku paling kesal dengan recapcah, angka jumblah tidak sinkron padahal sudah betul tidak salah, masih tidak sinkron. Payah."
"aplikasinya sering bermasalah dan banyak bug, berat juga mau liat video aja nyangkut虏 padahal sinyal bagus kok, tolong ya buat pihak X tolong diperbaiki aplikasinya biar lebih nyaman di pake orang虏"
"Gw gak ngerti lg sm Twitter yg berganti nama jadi X ini. Gw buka akun selalu ditangguhkan padahal 4x gw bikin akun yg baru. Log in selalu begitu.. Banyak bug nya.. Kadang ada tulisannya ""tenang, ini bukan kesalahan anda"". Bukan kesalahan sy knp akun ditangguhkan terus?????? Jadi susah dan gak guna sosmed ini.."
"aplikasinya suka gajelas. tiba-tiba suka log out sendiri, pas mau login lagi malah ada kesalahan teknis katanya. sekarang ini lagi ngalamin yang kedua kali, udah lakuin berbagai cara tetep gabisa. tolong diperbaikin!"
"Sudah diperbaiki update aplikasi X tapi saya buka org yg mengikuti tapi ga ada daftarnya malah ga ada error dan katanya jaringannya jelek,padahal kuota masih ada馃槩,tolong diperbaiki aplikasi X meski tadi sudah saya update,tetap aja jelek馃槩"
"tolong dong diperbaharui apk nya, padahal jaringan lancar tapi kenapa selalu loading ya pas buka, padahal sebelumnya lancar-lancar aja gak ada drama loading. udah di uninstall trus install lagi tapi tetep aja loading apalagi pas login lama banget loading nya"
"Setelah menghubungi bantuan pada X maka akun saya yang sempat tidak bisa diakses karena ""kesalahan teknis"" sudah dapat digunakan kembali dan saya harapkan aplikasi X akan lebih baik kedepannya, terima kasih."
Kalau sudah update malah tambah ngeleg padahal wifi lancar!! susah buat nonton kadang-kadang keluar sendiri dari aplikasi! ditingkatkan lagi min!
setelah berubah jadi X kenapa banyak masalah sih. login ke perangkat baru karena ganti hp malah kena penangguhan.. ini akun kedua coba login ulang ada dapet peringatan padahal masih satu perangkat. awas aja klo bermasalah terus saya kasih bintang 1. mo lapor CS bingung kemana lapornya. tolong perbaiki!!!
Mengapa kali ini selalu muncul keterangan bahwa ada kesalahan teknis? Saya sudah mencoba membuka aplikasi x beberapa kali tapi tetap saja. Ini sudah 3 hari dan masih saja muncul keterangan bahwa ada kesalahan teknis.
"Kenapa tweetter menjadi seperti ini sekarang, sering ngefreeze, buffering padahal sinyal bagus, setelah berubah jadi X aplikasi ini menjadi bobrok."
"Hei elon, kalau mau upgrade lihat bagaimana cara kerja Meta, kecuali akun kena hack, hapus data aplikasi, hp kena nuklir tidak pernah Logout sendiri karena kesalahan teknis"
"Apalah mas elon ini, tolong diperbaiki lah, buat buka game berat aja lancar masak buka x lemotnya minta ampun, video/foto lama kerendernya"
"beberapa hari ini pemutaran vidio sering tersendat harus play-pause, tiba-tiba akun keluar sendiri dan tidak bisa login. Selain dari dua masalah itu wifi dan koneksi saya lancar kenapa tidak dapat diakses secara normal?"
"ini kenapa nggak bisa dibuka dah aplikasinya? loading terus dari semalem. padahal udah diperbarui juga. jaringan bagus banget, jadi benerin deh aplikasinya. nyebelin banget. makin lama makin jelek."
"app jelek, butut banget kocak. dikit' lemot, dikit' error. buka app lain lancar, giliran buka x, lemot nya minta ampun. dari dulu gitu aja terus, ga di fix."
"Semenjak Twitter ditangan elon jadi ga beres, tiba-tiba akun di log out sendiri, ditangguhkan gada sebab, pas masuk lagi malah ada kesalahan teknis. Mending lu fokus ke mobil tesla ama SpaceX lu aja dah gausah akuisisi aplikasi publik"
"hai, tolong dong, kenapa sih tiap mau nonton video malah ada tulisan Masalah Pemutaran, trus video nya gabisa di tonton. mohon bantuannya ya, ga betah di aplikasi ini kalo suka seperti ini.馃檹馃徎"
"i love using it, tapi buka bagian DM pasti selalu ngecrash. im not kidding, blom ada 5 detik bakalan ngecrash keluar aplikasi."
saya merasa aplikasi X ini adalah aplikasi yg bisa memahami pengguna nya ini aplikasi yg sangat menarik bisa berteman juga saya suka postingan nya tidak terlalu banyak mengedit banyak yg serius bukan sekedar konten tapi banyak kejadian berita menarik dan konten yg meng hibur juga dan banyak pengguna yg mengerti perasaan pengguna lain
"ni aplikasi kenapa dah Kok pas mau masuk nggak bisa,uda di update tetap juga nggak bisa mending pakai yg versi web nya aja"
"Sering banget ""gagal mengirim konten"" seolah oleh jaringan internet gak ada padahal internet normal bisa buat stream yt dll tapi gak tau kenapa cuma di x aja seperti gak ada internet. Tolong di perbaiki kembali bug seperti ini"
"makin aneh apk nya, tiba tiba aja ke log out sendiri, tiba tiba akun kesuspend sendiri padahal gak ngapa虏in cuma baca yg lagi trending, udah berkali kali buat akun gak sampai setahun ke suspend juga. lebih suka pas masih logo burung biru dulu馃槶"
Saya sangat kecewa dengan aplikasi Twitter yang sekarang tiba tiba akun keluar sendiri kadang baru 2 hari bikin akun besok nya tiba tiba akun keluar sendiri dan kalau bisa update selanjutnya dibikin simple untuk login masuk ya sama seperti Instagram
"Untuk sementara bintang dua dulu ya, kalau masalah pencarian nya tiba-tiba error tanpa sebab, jadi tolong perbaiki pencarian X nya aku tidak akan kembali membuka X kalau pencarian tidak diperbaiki"
"Jangan di download aplikasi ini. Gabisa login terus, selalu muter"" kyk ga ada jaringan padahal kenceng bgt, refresh pun ga bisa, aplikasi sampah, gajelas lu Elon Musk, bukannya makin gacor malah gabisa di buka ni aplikasi"
"Aplikasi nya udah bagus, tapi untuk yang berlangganan premium untuk edit postingan misalnya ada tulisan yang salah atau typo jangan dua postingan, satu postingan aja yang sudah di upload, cuma memperbaiki tulisan yang typo atau salah satu udah di upload, di posting lagi cuman tulisan nya yang diperbaiki 馃槕馃椏"
"Bagi yang bug atau lain-lain, mungkin aplikasi ini terlalu bagus untuk smartphone anda. Karena saya pengguna dari 2010, dan menurut saya sosmed ini adalah yang terbaik dan paling aman daripada sosmed yang lain. Jadi smartphone anda juga harus di update, Udah kentang masih dipakai aja"
"Aplikasi ini kenapa si, baru aja login setelah sekian lama, Tiba-tiba ada notif pembatasan karena melakukan pelanggaran aturan X, padahal belum melakukan apapun, sekarang jadi gk bisa melakukan apapun dan di batasi pada mode Read-only."
"awal awal aku masuk ke x ini bagus aja ga ada yg ngeload, tapi akhir akhir ini kenapa ngeloading? setiap aku mau ke akun aku,ngeliat akun yg aku folow, buka komentar, selalu nge loading lamaaaaaaaa bgtt padahal jaringan ku bagus pas di coba ke aplikasi lain ga ngeloading tuh"
"Sumpah ini aplikasi kenapa dah, setiap buka atau lihat berita selalu bertulisan ""Maaf ada gangguan, coba lagi nanti"" gitu terus. Bahkan liat video berita pun sama muncul tulisan itu, gw kasih bintang 1 dulu kalo masih sama ya tetap bintang 1"
"kok X saya nggak bisa dibuka pada saat pakai kuota sendiri ya? kalau pakai wifi itu lancar lancar aja, padahal kuota masih banyak dan buka aplikasi lain pun lancar. terus ini ada pemberitahuan bahwa program beta nya sudah penuh, itu maksudnya apa ya? tolong jawabannya!"
"Apk apaan si sering banget terkunci lagi terkunci lagi, verifikasi berkali kali, tidak seperti apk lainnya, cuma apk ini yang sering banget terkunci lali verifikasi, udah verifikasinya susah harus masukin kode dulu, belum lagi nungguin kodenya Berjam jam,"
"Iklan video sangat mengganggu, sudah klik ""saya tidak suka iklan ini"" tapi terus saja muncul. Apalagi autoplay membuat kuota cepat habis. Belum termasuk iklan permainan judi online."
Aplikasi nya bagus tak bikin kesel yg posting cukup lah buat menghibur dan ada banyak ragam nya kalo di cari apa yang mau di cari walau terkadang ada yg mau di cari yg muncul yang lain ya mungkin di batasi barang kali yah
"kebanyakan masyarakat mengeluarkan pendapat dengan logika dan secara dewasa disini (belum tentu 100% bener ya), dibandingkan sosmed lainnya yang isi nya kebanyakan bocah. X cocok jadi tempat yang isinya berita,jurnal,kasus,sampe suara rakyat 馃槍. misalnya ada yang jarang nonton berita ditv, buatku ini X lumayan jadi sumber berita, ada aja update-an nya walau pasti ada aja netizen yang salah tempat 馃樃"
Aplikasi nya jelek setiap masuk pasti keluar dari akun dan udah di daftar beberapa kali tetep aja keluar tolong di menerin aplikasi nya dan setiap posting foto atau yg lain pasti ilang tolong di benerin fitur nya
"Ini twitter knp sihhhhhhhhh, sering bgt tiba tiba log out trs suruh verifikasi email, tapi pesan verifikasi nya tuh dateng 3 hari kemudiannn, ya gmn bisa diverifikasi nya ath kalau ky gitu mahhhhh( 锝�写麓)"
"Pusat bantuan sangat ampas, akun x saya kena lock dan saya harus verifikasi lewat email tapi email lama hilang dan gabisa diakses karena kena lock dihp lama yang sudah dijual, saya mencoba menggunakan fitur pusat bantuan dan mengirimkan pesan tapi cuman loading gak pernah terkirim"
"apalah tb tb banget ngelag padahal wifi lancar pas nyoba ganti pake kuota sama aja ga bisa pasti ada tulisan "" kesalahan teknis, tenang ini bukan kesalahan anda ""apalah pokoknya harus di perbaiki 馃グ馃グ馃が馃が馃が"
Tolong ini udah lebih dari 3 hari Twitter saya error... mau masukin post orang ke bookmark gabisa... mau nyimpen gambar gabisa... mau komen di post orang dan ngetag akun sendiri gabisa.... tolong dong diperbaiki secepatnyaaaa!!
"jelek sekarang, sering keluar tidak jelas, pas mau login server jelek... ini aplikasi jadi jelek... rusak bener ni aplikasi, tetap ga biaa masuk akun gw ... buat developer tolong perhatikan lagi bug bug yang mengganggu pengguna"
"Patah saya mau bikin aku baru lagi gak bisa malah di suruh pilih gambar kecewa banget semua abdete twiter semakin gak jelas dan setiap saya nonton vidio selalu macet "" Tolong dong lebih di perbaiki lagi biar orang "" Nyaman dan suka bermain twiter, kenapa semenjak update jadi makin susah nonto vidio ya tolong dong di perbaiki lagi"
stlh update ni apk mlh tmbh rusak beranda ga mau restart konten terbaru hrs keluar dari apk dulu trs balik lagi pdhl dulu sblm di update g ky gini trs 1 bln terakhir ini sering lag dan ga bisa nerjemahin postingan yg sdg kita lihat tlg mslh sprti ini segera diperbaiki buat ga nyaman menggunakan aplikasi soalnya 馃檹
"gtw kenapa tiba-tiba akun ku di tangguhkan padhal ga pernh melanggar apapun dan jarang sekali aktif. saat di cek untuk ajukan banding malahan kata nya akun ku ga di tangguhkan , apa masalah teknis tolong bngt ini mah X , dan sampai sekrng ga ada respon dari X apaan bngt"
"mau login akun tpi gw lupa nickname akun gw karena gw pakai nama acak虏an, kan saat itu ga perlu masukin nickname akun kalo mau login, tpi sekarang ada, jdi ya gabisa login lagi karena gw lupa, mungkin gw yang salah si, tpi klo bisa di ilangin aja si"
"padahal dulu nih apk termasuk yang paling aku sering pake lho, tapi gegara apalah ini ganti admin (?) jadi malah kek... ah sudahlah. malesin, lemot, buat ngapa-ngapain serasa nggak nyaman."
"aplikasinya sih oke, tapi ada masalah satu aja yang bikin kesal, postingan lama hilang mungkin karena postingannya udah mencapai 2000 postingan, jadi waktu aku sekroll ke bawah ga ada hilang mentok gitu, jadi kesell"
"aplikasi X sering minta update, tapi hasilnya makin burik aja, notifikasi gak muncul, ngirim video selalu gagal. parah, cuma pinter nyedotin kuota doang."
"Aplikasi ini sekarang sudah seperti sampah, terlalu banyak bug, selalu gagal saat di koneksikan ke game, dan tidak pernah di perbaiki, x sampah"
"Makin kesini makin rusak di update makin gak jelas keterangan appnya dibawa kemana, ganti pass ngebug, ganti username gabisa, bahkan harus ngulang虏 lagi ke email GAJELAS ASLI!"
"apa apaan dah, org mau nge search mlh dibilang kesalahan teknis, wifi full, kuota full, jaringan lancar pdhl, tolong diperbaiki"
"Dari kemaren buka kayak gak ada jaringan padahal wifi lancar, gabisa check DM terbaru, harus masuk lewat web dan itu ribet, tolong deh perbaiki"
"Kenapa kok gak bisa ganti foto ya ,, padahal udah di ganti foto lain pas balik ke menu utama dan masuk kembali ke apk X ini foto nya balik ke foto sebelum nya"
"akun aku di tangguhkan, padahal gak pernah ngelanggar, udah ajukan banding tapi berbulan2 ga ada respon, mau bikin akun baru gak bisa, postingan dibatesi MAKSUDNYA APA YA??! semenjak ganti nama jadi X sih ini (kalau bisa saya gak bakal ngasih bintang)"
"Jelek, hbs update makin banyak bug, padahal paketan full, sinyal lancar tapi tulisannya tidak bisa memuat informasi terus"
"Koq malah jadi ga jelas gini sih, waktu twitter baik2 aja, pas upgrade je X nalah ga bisa bisa d buka, inbox jadi kosong, profil ga bisa d buka, parah.."
"kok x malah jadi ga bisa memuat berita baru, mau liat markah ga bisa, dan mau searching malah ga bisa padahal wifi lancar kuota data baru ngisi tetap aja ga bisa tolong ya diperbaiki馃檹馃徎"
"Seringkali kali error, masih bagus Twitter yang dulu. Kadang suka keluar sendiri, tolong perbaiki dan jadikan Twitter canggih seperti sedia kala."
"susah login nya, pdhl seblm seblum nya mudah sekli untuk login cumn belakangn ini susah sekali bahkan untuk masuk pakai akun saja hampir tidak bisa."
"Benar-benar gajelas, Saya awal download tiba-tiba akun saya sudah ditanggungkan. wht u mean? saya aja baru main dan saya juga merasa tdk melakukan kesalahan. tolong lah, udah 3 tahun saya tunggu. masih aja begitu terus. ini menurut ku bintang 1 aja ga layak"
"bagus sih aplikasi nya, cuman suka error gtu, kalo ada pesan masuk suka gak keliatan notif nya jadi kedepannya lebih di bagusin lagi biar gak suka error馃馃"
Tolong perbarui sedikit saya kan sedang ingin buka twitter yg saya sudah suka pas saya ingin melihat nya tiba tiba tidak muncul gambar apapu padahal saya wifi nya bagus tolong di perbaikan
"Dulu twitter lancar banget saat digunakan, gak makan banyak memori juga, iklannya masih oke diterima, mau buka timeline loadingnya bagus lancar2 aja. Sekarang ganti jadi X malah susah mau dikoneksikan, loading timeline lama banget, banyak makan memori, iklannya berulang2 bahkan sekarang muncul iklan nyeleneh kayak open b.o seriously what's wrong with this app????"
"Medsos terbaik untuk saat ini. Namun, ada bug yang membuat pengguna terjebak dalam fitur posting, males banget harus relog.."
"user experience nya mengecewakan, akun lagi diem aja kena suspend, kelogout trus kena redflag. tolong aturannya diubah. trus liat qrt juga gabisa sama reply, aneh banget"
"Kenapa update terus sih, terus kalo saya gk update suka keluar sendiri gitu. Tampilannya juga berubah, kecewa banget sama twitter sekarang, please balikin twitter seperti dulu lagi dong!!!"
"Semenjak ganti jadi X aplikasinya semakin lemot. Sering macet tidak bisa update, sering juga refresh sendiri padahal lagi baca timeline seru. Putar video lemot banget kebanyakan gak bisa dibuka. Iklannya banyak banget dan sangat mengganggu. Saat aplikasi berhenti meskipun udah bersihkan chace, update aplikasi, restart hp, pasang mode pesawat sampe buka tutup aplikasi tetep gak ngaruh. Udah ganti koneksi wifi maupun paket data tetep aplikasi tidak merespon. Menyebalkan"
"Makin kesini makin banyak bugnya. akun sering log out sendiri pas lagi scrolling, akun tiba tiba kekunci saat mau login ampe 2x, timeline sering ngerefresh sendiri, nonton video scroll otomatis pas kembali suaranya gk ilang,lihat foto loadingnya lama & kadang apknya force close sendiri. Padahal dulu enak ringan & simple sekarang malah berat & banyak bugnya update pun gk membantu sama sekali."
"Semenjak jadi X, belakangan loading content menjadi terlalu lama, terkadang saat putar video selanjutnya, suara video sebelum masih ada, setelah beberapa kali update masalah masih sama, please fix, saya suka mendapatkan informasi terbaru melalui X"
"Kok banyak video permasalahan dan lemot padahal wifi lancar tolong diperbaiki. Saya mau unduh videonya biar gak lemot, setelah unduh kok malah videonya rusak, Aku kira-kira mungkin videonya jadi rusak setelah upload? Ini sangat buruk :(. Saya rindu aplikasi twitter lama videonya utuh dan gak lemot"
"sudah hampir 1x24 jam tidak bisa akses dari perangkat manapun dengan note ""ada kesalahan teknis...melampaui batas verifikasi .. "" padahal akun baik虏 saja. bagaimana ini????"
"pengguna X dari tahun 2021, tiba2 akun ku ditangguhkan, gak bisa login sama sekali. awalnya dicurigain aku bukan manusia udah ngikutin petunjuk tetap aja gak bisa masuk."
"Aplikasi cacat, sering bgt ""ada kesalahan teknis"" tanpa tahu bug/errornya dimana. Coba perbaiki Lon Elon"
"error muluuuuuu, lagi asik虏 scrol malah keluar tiba虏 di suruhh login lagi tapi ujung-ujungnya ga bisa kocakk, sampe sekarang masih ga bisa login gimna sih"
aplikasi jelek....setiap akun di tangguhkan gak bisa di aktifin lagi...cuma di kasih cara buat di baca doang....
"buruk banget knp nggk kayak dulu,mau masuk aja susah terus loading ny lama udah di tunggu lama,eh ada ""kesalahan teknis"""
"Sangat menyukai,sangat berharap yang di tampilkan pada halaman X yang real dan valid saja,atas bantuan semua pihak, banyak terima kasih."
Twitter berganti X malah hancur kebanyakan verifikasi. Sekarang malah ke email malah gak bisa buka akun ku!. aplikasi gak guna 馃椏馃憥馃徎
"sejak ganti x malah lemot dan sering error 馃槷鈥嶐煉� tiap scroll sering refresh sendiri, post yg lagi dibaca gak tau hilang ke mana??!!!!"
"gk bisa login soalnya biasanya aku login pakek akun Google langsung masuk tapi kali ini gk bisa, mohon di perbaiki ya aku butuh apk nya"
"ini aplikasi x serakarang kenapa dah, udh 2 hari dari kemaren mau login ada tulisan ""ada kesalahan teknis"" mulu!!!!"
"lemot amat si sekarang, masa iya sinyal bagus tapi ga bisa buka notifikasi sama pesan, perbaiki lah. jangan cuman minta updet doang"
sekarang tiap buka X pasti lama muncul timeline nya. padahal sinyal bagus. loadingnya ga kelar2
"kok kag bisa login ya di situ malah ke tulis kesalahan teknis,.. emang ada bug kah? mohon di perbaiki min, tampa in aku kaga bisa menjalankan bisnis ku"
"kecewa dengan x, keluar sendiri gk bs masuk lgi, udah coba 100x juga gk bs,,,,pdhal akun sendiri di bilang bukan anda yg masuk, gk ada perbaikan sma se x"
"aplikasi ngak guna,lelet,lemot, sudah beberapa jam aplikasi tidak bisa digunakan,padahal signal bagus,lebih baik kalian hapus aja aplikasi kalian yg ngak bermutu itu"
makin kesini makin aneh ni apk abis update malah log out pas mau masuk malah gak bisa sampe sekarang juga gak bisa njg
"suka tiba tiba ke kunci/lok (ban tiba虏) tanpa ada penjelasan yg bnr, betulin dong keamanannya beda sma twiter dulu"
"hari ini saya kenapa ngak bisa login?, dan sudah saya coba uninstall dan install lagi aplikasinya tetap ngak bisa login katanya verifikasi terlalu banyak dan coba bikin akun baru juga ngak bisa"
